A16,A1,A2,A3,A8,A9,A10,A11,A12,A14,A15,A4_0,A4_1,A4_2,A5_0,A5_1,A5_2,A6_0,A6_1,A6_2,A7_0,A7_1,A7_2,A13_0,A13_1,A13_2
1,0,23.00,11.75,0.5,1,1,2,1,00300,551,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1
1,1,27.75,0.585,0.25,1,1,2,0,00260,500,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
1,1,54.58,9.415,14.415,1,1,11,1,00030,300,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1
1,1,34.17,9.17,4.5,1,1,12,1,00000,221,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,1,28.92,15.0,5.335,1,1,11,0,00000,2283,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,1,29.67,1.415,0.75,1,1,1,0,00240,100,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,1,39.58,13.915,8.625,1,1,6,1,00070,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,1,56.42,28.0,28.5,1,1,40,0,00000,15,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
1,1,54.33,6.75,2.625,1,1,11,1,00000,284,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,0,41.00,2.04,0.125,1,1,23,1,00455,1236,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
1,1,31.92,4.46,6.04,1,1,3,0,00311,300,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,1,41.50,1.54,3.5,0,0,0,0,00216,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
1,1,23.92,0.665,0.165,0,0,0,0,00100,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,0,25.75,0.5,0.875,1,0,0,1,00491,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,1,26.00,1.0,1.75,1,0,0,1,00280,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,1,37.42,2.04,0.04,1,0,0,1,00400,5800,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,1,34.92,2.5,0.0,1,0,0,1,00239,200,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,1,34.25,3.0,7.415,1,0,0,1,00000,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,1,23.33,11.625,0.835,1,0,0,1,00160,300,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
1,1,23.17,0.0,0.085,1,0,0,0,00000,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,1,44.33,0.5,5.0,1,0,0,1,00320,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,1,35.17,4.5,5.75,0,0,0,1,00711,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1
1,1,43.25,3.0,6.0,1,1,11,0,00080,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,1,56.75,12.25,1.25,1,1,4,1,00200,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,1,31.67,16.165,3.0,1,1,9,0,00250,730,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1
1,0,23.42,0.79,1.5,1,1,2,1,00080,400,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
1,0,20.42,0.835,1.585,1,1,1,0,00000,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,1,26.67,4.25,4.29,1,1,1,1,00120,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,1,34.17,1.54,1.54,1,1,1,1,00520,50000,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,0,36.00,1.0,2.0,1,1,11,0,00000,456,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,1,25.50,0.375,0.25,1,1,3,0,00260,15108,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,1,19.42,6.5,1.46,1,1,7,0,00080,2954,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,1,35.17,25.125,1.625,1,1,1,1,00515,500,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1
0,1,32.33,7.5,1.585,1,0,0,1,00420,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
0,1,34.83,4.0,12.5,1,0,0,1,-1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1
0,0,38.58,5.0,13.5,1,0,0,1,00980,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
0,1,44.25,0.5,10.75,1,0,0,0,00400,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
0,1,44.83,7.0,1.625,0,0,0,0,00160,2,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
0,1,20.67,5.29,0.375,1,1,1,0,00160,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
0,1,34.08,6.5,0.125,1,0,0,1,00443,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1
0,0,19.17,0.585,0.585,1,0,0,1,00160,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1
0,1,21.67,1.165,2.5,1,1,1,0,00180,20,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
0,1,21.50,9.75,0.25,1,0,0,0,00140,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
0,1,49.58,19.0,0.0,1,1,1,0,00094,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1
0,0,27.67,1.5,2.0,1,0,0,0,00368,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
0,1,39.83,0.5,0.25,1,0,0,0,00288,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
0,0,-1,3.5,3.0,1,0,0,1,00300,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1
0,1,27.25,0.625,0.455,1,0,0,1,00200,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1
0,1,37.17,4.0,5.0,1,0,0,1,00280,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
0,1,-1,0.375,0.875,1,0,0,1,00928,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1
0,1,25.67,2.21,4.0,1,0,0,0,00188,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1
0,1,34.00,4.5,1.0,1,0,0,1,00240,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1
0,0,49.00,1.5,0.0,1,0,0,1,00100,27,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1
0,1,62.50,12.75,5.0,1,0,0,0,00112,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
0,1,31.42,15.5,0.5,1,0,0,0,00120,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
0,1,-1,5.0,8.5,1,0,0,0,00000,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1
0,1,52.33,1.375,9.46,1,0,0,1,00200,100,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
0,1,28.75,1.5,1.5,1,0,0,1,00000,225,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
0,0,28.58,3.54,0.5,1,0,0,1,00171,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
0,1,23.00,0.625,0.125,1,0,0,0,00180,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1
0,1,-1,0.5,0.835,1,0,0,1,00320,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
0,0,22.50,11.0,3.0,1,0,0,1,00268,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
0,0,28.50,1.0,1.0,1,1,2,1,00167,500,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
0,1,37.50,1.75,0.25,1,0,0,1,00164,400,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1
0,1,35.25,16.5,4.0,1,0,0,0,00080,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
0,1,18.67,5.0,0.375,1,1,2,0,00000,38,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
0,1,25.00,12.0,2.25,1,1,2,1,00120,5,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
0,1,27.83,4.0,5.75,1,1,2,1,00075,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
0,1,54.83,15.5,0.0,1,1,20,0,00152,130,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
0,1,28.75,1.165,0.5,1,0,0,0,00280,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
0,0,25.00,11.0,4.5,1,0,0,0,00120,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1
0,1,40.92,2.25,10.0,1,0,0,1,00176,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
0,0,19.75,0.75,0.795,1,1,5,1,00140,5,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
0,1,29.17,3.5,3.5,1,1,3,1,00329,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
0,0,24.50,1.04,0.5,1,1,3,0,00180,147,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1
0,1,24.58,12.5,0.875,1,0,0,1,00260,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
0,0,33.75,0.75,1.0,1,1,3,1,00212,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
0,1,20.67,1.25,1.375,1,1,3,1,00140,210,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
0,0,25.42,1.125,1.29,1,1,2,0,00200,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
0,1,37.75,7.0,11.5,1,1,7,1,00300,5,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,1,52.50,6.5,6.29,1,1,15,0,00000,11202,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,1,57.83,7.04,14.0,1,1,6,1,00360,1332,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,0,20.75,10.335,0.335,1,1,1,1,00080,50,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,1,39.92,6.21,0.04,1,1,1,0,00200,300,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,1,25.67,12.5,1.21,1,1,67,1,00140,258,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,0,24.75,12.5,1.5,1,1,12,1,00120,567,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1
1,0,44.17,6.665,7.375,1,1,3,1,00000,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,0,23.50,9.0,8.5,1,1,5,1,00120,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,1,34.92,5.0,7.5,1,1,6,1,00000,1000,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1
1,1,47.67,2.5,2.5,1,1,12,1,00410,2510,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
1,1,22.75,11.0,2.5,1,1,7,1,00100,809,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,1,34.42,4.25,3.25,1,1,2,0,00274,610,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
1,0,28.42,3.5,0.835,1,0,0,0,00280,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,1,67.75,5.5,13.0,1,1,1,1,00000,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,1,20.42,1.835,2.25,1,1,1,0,00100,150,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,0,47.42,8.0,6.5,1,1,6,0,00375,51100,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
1,1,36.25,5.0,2.5,1,1,6,0,00000,367,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
1,1,32.67,5.5,5.5,1,1,12,1,00408,1000,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,1,48.58,6.5,6.0,1,0,0,1,00350,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,1,39.92,0.54,0.5,1,1,3,0,00200,1000,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1
1,1,33.58,2.75,4.25,1,1,6,0,00204,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,0,18.83,9.5,1.625,1,1,6,1,00040,600,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,0,26.92,13.5,5.0,1,1,2,0,00000,5000,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,0,31.25,3.75,0.625,1,1,9,1,00181,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,0,56.50,16.0,0.0,1,1,15,0,00000,247,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1
1,1,43.00,0.29,1.75,1,1,8,0,00100,375,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
1,1,22.33,11.0,2.0,1,1,1,0,00080,278,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,1,27.25,1.665,5.085,1,1,9,0,00399,827,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,1,32.83,2.5,2.75,1,1,6,0,00160,2072,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,1,23.25,1.5,2.375,1,1,3,1,00000,582,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,0,40.33,7.54,8.0,1,1,14,0,00000,2300,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
1,0,30.50,6.5,4.0,1,1,7,1,00000,3065,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
1,0,52.83,15.0,5.5,1,1,14,0,00000,2200,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,0,46.67,0.46,0.415,1,1,11,1,00440,6,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,0,58.33,10.0,4.0,1,1,14,0,00000,1602,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,1,37.33,6.5,4.25,1,1,12,1,00093,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,1,23.08,2.5,1.085,1,1,11,1,00060,2184,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,1,32.75,1.5,5.5,1,1,3,1,00000,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,0,21.67,11.5,0.0,1,1,11,1,00000,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
1,0,28.50,3.04,2.54,1,1,1,0,00070,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
1,0,68.67,15.0,0.0,1,1,14,0,00000,3376,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,1,28.00,2.0,4.165,1,1,2,1,00181,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,1,34.08,0.08,0.04,1,1,1,1,00280,2000,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1
1,1,27.67,2.0,1.0,1,1,4,0,00140,7544,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1
1,1,44.00,2.0,1.75,1,1,2,1,00000,15,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,1,25.08,1.71,1.665,1,1,1,1,00395,20,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1
1,1,32.00,1.75,0.04,1,0,0,1,00393,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
1,0,60.58,16.5,11.0,1,0,0,1,00021,10561,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,0,40.83,10.0,1.75,1,0,0,0,00029,837,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,1,19.33,9.5,1.0,1,0,0,1,00060,400,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,0,32.33,0.54,0.04,1,0,0,0,00440,11177,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,1,36.67,3.25,9.0,1,0,0,1,00102,639,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,1,37.50,1.125,1.5,0,0,0,1,00431,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
1,0,25.08,2.54,0.25,1,0,0,1,00370,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1
1,1,41.33,0.0,15.0,1,0,0,0,00000,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
1,1,56.00,12.5,8.0,1,0,0,1,00024,2028,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,0,49.83,13.585,8.5,1,0,0,1,00000,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,1,22.67,10.5,1.335,1,0,0,0,00100,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,1,27.00,1.5,0.375,1,0,0,1,00260,1065,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
1,1,25.00,12.5,3.0,1,0,0,1,00020,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1
1,0,26.08,8.665,1.415,1,0,0,0,00160,150,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1
1,0,18.42,9.25,1.21,1,1,4,0,00060,540,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,1,20.17,8.17,1.96,1,1,14,0,00060,158,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1
1,1,47.67,0.29,15.0,1,1,20,0,00000,15000,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
1,0,21.25,2.335,0.5,1,1,4,0,00080,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
1,0,20.67,3.0,0.165,1,1,3,0,00100,6,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,0,57.08,19.5,5.5,1,1,7,0,00000,3000,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,0,22.42,5.665,2.585,1,1,7,0,00129,3257,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,1,48.75,8.5,12.5,1,1,9,0,00181,1655,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,1,40.00,6.5,3.5,1,1,1,0,00000,500,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1
1,1,40.58,5.0,5.0,1,1,7,0,00000,3065,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,0,28.67,1.04,2.5,1,1,5,1,00300,1430,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,0,33.08,4.625,1.625,1,1,2,0,00000,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,1,21.33,10.5,3.0,1,0,0,1,00000,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,1,42.00,0.205,5.125,1,0,0,0,00400,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,1,41.75,0.96,2.5,1,0,0,0,00510,600,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1
1,1,22.67,1.585,3.085,1,1,6,0,00080,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
1,1,34.50,4.04,8.5,1,1,7,1,00195,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1
1,1,28.25,5.04,1.5,1,1,8,1,00144,7,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1
1,1,33.17,3.165,3.165,1,1,3,1,00380,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
1,1,48.17,7.625,15.5,1,1,12,0,00000,790,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,1,27.58,2.04,2.0,1,1,3,1,00370,560,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1
1,1,22.58,10.04,0.04,1,1,9,0,00060,396,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1
1,0,24.08,0.5,1.25,1,1,1,0,00000,678,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,0,41.33,1.0,2.25,1,0,0,1,00000,300,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
1,1,24.83,2.75,2.25,1,1,6,0,-1,600,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,0,20.75,10.25,0.71,1,1,2,1,00049,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,1,36.33,2.125,0.085,1,1,1,0,00050,1187,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
1,0,35.42,12.0,14.0,1,1,8,0,00000,6590,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,0,71.58,0.0,0.0,0,0,0,0,-1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
1,1,28.67,9.335,5.665,1,1,6,0,00381,168,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,1,35.17,2.5,4.5,1,1,7,0,00150,1270,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,1,39.50,4.25,6.5,1,1,16,0,00117,1210,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
1,1,39.33,5.875,10.0,1,1,14,1,00399,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,1,24.33,6.625,5.5,1,0,0,1,00100,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
1,1,60.08,14.5,18.0,1,1,15,1,00000,1000,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1
1,1,23.08,11.5,3.5,1,1,9,0,00056,742,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,1,26.67,2.71,5.25,1,1,1,0,00211,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
1,1,48.17,3.5,3.5,1,0,0,0,00230,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1
1,1,41.17,4.04,7.0,1,1,8,0,00320,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,1,55.92,11.5,5.0,1,1,5,0,00000,8851,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1
1,1,53.92,9.625,8.665,1,1,5,0,00000,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,0,18.92,9.25,1.0,1,1,4,1,00080,500,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
1,0,50.08,12.54,2.29,1,1,3,1,00156,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1
1,1,65.42,11.0,20.0,1,1,7,1,00022,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,0,17.58,9.0,1.375,1,0,0,1,00000,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1
1,0,18.83,9.54,0.085,1,0,0,0,00100,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1
1,0,37.75,5.5,0.125,1,0,0,1,00228,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,1,23.25,4.0,0.25,1,0,0,1,00160,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
1,1,18.08,5.5,0.5,1,0,0,0,00080,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,0,22.50,8.46,2.46,0,0,0,0,00164,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
1,1,19.67,0.375,2.0,1,1,2,1,00080,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,1,22.08,11.0,0.665,1,0,0,0,00100,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,1,25.17,3.5,0.625,1,1,7,0,00000,7059,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,0,47.42,3.0,13.875,1,1,2,1,00519,1704,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1
